two_theta_deg,intensity
1.337999999999982137e+01,4.848691634479820095e+03
1.339999999999982094e+01,4.877277620695079349e+03
1.341999999999982052e+01,4.906127084765383188e+03
1.343999999999982009e+01,4.935243338970325567e+03
1.345999999999981966e+01,4.964629748398238917e+03
1.347999999999981924e+01,4.994289731966975523e+03
1.349999999999981881e+01,5.024226763467875571e+03
1.351999999999981839e+01,5.054444372633565763e+03
1.353999999999981796e+01,5.084946146230151498e+03
1.355999999999981753e+01,5.115735729174523840e+03
1.357999999999981711e+01,5.146816825677376983e+03
1.359999999999981668e+01,5.178193200412658371e+03
1.361999999999981625e+01,5.209868679714121754e+03
1.363999999999981583e+01,5.241847152799740797e+03
1.365999999999981540e+01,5.274132573024716294e+03
1.367999999999981497e+01,5.306728959163807303e+03
1.369999999999981455e+01,5.339640396723848426e+03
1.371999999999981412e+01,5.372871039287214444e+03
1.373999999999981370e+01,5.406425109887072722e+03
1.375999999999981327e+01,5.440306902415326476e+03
1.377999999999981284e+01,5.474520783064117495e+03
1.379999999999981242e+01,5.509071191801784153e+03
1.381999999999981199e+01,5.543962643884289719e+03
1.383999999999981156e+01,5.579199731403016813e+03
1.385999999999981114e+01,5.614787124870009393e+03
1.387999999999981071e+01,5.650729574841657268e+03
1.389999999999981029e+01,5.687031913581909066e+03
1.391999999999980986e+01,5.723699056766128706e+03
1.393999999999980943e+01,5.760736005226722227e+03
1.395999999999980901e+01,5.798147846741722788e+03
1.397999999999980858e+01,5.835939757867557091e+03
1.399999999999980815e+01,5.874117005817221980e+03
1.401999999999980773e+01,5.912684950385190859e+03
1.403999999999980730e+01,5.951649045920382378e+03
1.405999999999980687e+01,5.991014843348560134e+03
1.407999999999980645e+01,6.030787992245593159e+03
1.409999999999980602e+01,6.070974242963055076e+03
1.411999999999980560e+01,6.111579448807679910e+03
1.413999999999980517e+01,6.152609568276230675e+03
1.415999999999980474e+01,6.194070667347406015e+03
1.417999999999980432e+01,6.235968921832494743e+03
1.419999999999980389e+01,6.278310619786435382e+03
1.421999999999980346e+01,6.321102163981138801e+03
1.423999999999980304e+01,6.364350074442882033e+03
1.425999999999980261e+01,6.408060991055715022e+03
1.427999999999980218e+01,6.452241676232787540e+03
1.429999999999980176e+01,6.496899017657738113e+03
1.431999999999980133e+01,6.542040031098152213e+03
1.433999999999980091e+01,6.587671863293355273e+03
1.435999999999980048e+01,6.633801794918733322e+03
1.437999999999980005e+01,6.680437243628965007e+03
1.439999999999979963e+01,6.727585767182533345e+03
1.441999999999979920e+01,6.775255066650061053e+03
1.443999999999979877e+01,6.823452989709022404e+03
1.445999999999979835e+01,6.872187534027514630e+03
1.447999999999979792e+01,6.921466850739863730e+03
1.449999999999979750e+01,6.971299248016925048e+03
1.451999999999979707e+01,7.021693194734052668e+03
1.453999999999979664e+01,7.072657324239801710e+03
1.455999999999979622e+01,7.124200438228535859e+03
1.457999999999979579e+01,7.176331510720284314e+03
1.459999999999979536e+01,7.229059692151182389e+03
1.461999999999979494e+01,7.282394313578108267e+03
1.463999999999979451e+01,7.336344891001141150e+03
1.465999999999979408e+01,7.390921129807626130e+03
1.467999999999979366e+01,7.446132929341840281e+03
1.469999999999979323e+01,7.501990387604258103e+03
1.471999999999979281e+01,7.558503806084731877e+03
1.473999999999979238e+01,7.615683694733885204e+03
1.475999999999979195e+01,7.673540777077358143e+03
1.477999999999979153e+01,7.732085995477549659e+03
1.479999999999979110e+01,7.791330516547781372e+03
1.481999999999979067e+01,7.851285736723982154e+03
1.483999999999979025e+01,7.911963287999111344e+03
1.485999999999978982e+01,7.973375043825836656e+03
1.487999999999978940e+01,8.035533125193109299e+03
1.489999999999978897e+01,8.098449906882567120e+03
1.491999999999978854e+01,8.162138023910839365e+03
1.493999999999978812e+01,8.226610378164145004e+03
1.495999999999978769e+01,8.291880145231763890e+03
1.497999999999978726e+01,8.357960781445253815e+03
1.499999999999978684e+01,8.424866031130521151e+03
1.501999999999978641e+01,8.492609934080139283e+03
1.503999999999978598e+01,8.561206833253680088e+03
1.505999999999978556e+01,8.630671382713926505e+03
1.507999999999978513e+01,8.701018555807411758e+03
1.509999999999978471e+01,8.772263653597872690e+03
1.511999999999978428e+01,8.844422313561579358e+03
1.513999999999978385e+01,8.917510518553988732e+03
1.515999999999978343e+01,8.991544606057355850e+03
1.517999999999978300e+01,9.066541277719499703e+03
1.519999999999978257e+01,9.142517609194232136e+03
1.521999999999978215e+01,9.219491060294445560e+03
1.523999999999978172e+01,9.297479485469244537e+03
1.525999999999978129e+01,9.376501144617077443e+03
1.527999999999978087e+01,9.456574714247210068e+03
1.529999999999978044e+01,9.537719299002481421e+03
1.531999999999978002e+01,9.619954443556738624e+03
1.533999999999977959e+01,9.703300144901064414e+03
1.535999999999977916e+01,9.787776865033296417e+03
1.537999999999977874e+01,9.873405544066145012e+03
1.539999999999977831e+01,9.960207613769754971e+03
1.541999999999977788e+01,1.004820501156529463e+04
