two_theta_deg,intensity
2.423999999999990962e+01,1.859499963436111329e+02
2.425999999999990919e+01,1.863067964352297565e+02
2.427999999999990877e+01,1.866646607873855714e+02
2.429999999999990834e+01,1.870235937160372828e+02
2.431999999999990791e+01,1.873835995592876884e+02
2.433999999999990749e+01,1.877446826775216095e+02
2.435999999999990706e+01,1.881068474535439634e+02
2.437999999999990663e+01,1.884700982927195412e+02
2.439999999999990621e+01,1.888344396231134397e+02
2.441999999999990578e+01,1.891998758956325162e+02
2.443999999999990536e+01,1.895664115841680939e+02
2.445999999999990493e+01,1.899340511857394631e+02
2.447999999999990450e+01,1.903027992206385477e+02
2.449999999999990408e+01,1.906726602325757938e+02
2.451999999999990365e+01,1.910436387888267689e+02
2.453999999999990322e+01,1.914157394803801253e+02
2.455999999999990280e+01,1.917889669220867290e+02
2.457999999999990237e+01,1.921633257528093566e+02
2.459999999999990195e+01,1.925388206355743250e+02
2.461999999999990152e+01,1.929154562577234060e+02
2.463999999999990109e+01,1.932932373310675871e+02
2.465999999999990067e+01,1.936721685920412312e+02
2.467999999999990024e+01,1.940522548018580835e+02
2.469999999999989981e+01,1.944335007466682441e+02
2.471999999999989939e+01,1.948159112377156248e+02
2.473999999999989896e+01,1.951994911114978777e+02
2.475999999999989853e+01,1.955842452299262106e+02
2.477999999999989811e+01,1.959701784804873341e+02
2.479999999999989768e+01,1.963572957764059765e+02
2.481999999999989726e+01,1.967456020568091617e+02
2.483999999999989683e+01,1.971351022868911116e+02
2.485999999999989640e+01,1.975258014580801103e+02
2.487999999999989598e+01,1.979177045882058792e+02
2.489999999999989555e+01,1.983108167216686866e+02
2.491999999999989512e+01,1.987051429296097069e+02
2.493999999999989470e+01,1.991006883100822336e+02
2.495999999999989427e+01,1.994974579882248236e+02
2.497999999999989384e+01,1.998954571164352956e+02
2.499999999999989342e+01,2.002946908745461485e+02
2.501999999999989299e+01,2.006951644700012025e+02
2.503999999999989257e+01,2.010968831380339736e+02
2.505999999999989214e+01,2.014998521418468727e+02
2.507999999999989171e+01,2.019040767727920809e+02
2.509999999999989129e+01,2.023095623505537901e+02
2.511999999999989086e+01,2.027163142233316364e+02
2.513999999999989043e+01,2.031243377680258675e+02
2.515999999999989001e+01,2.035336383904233912e+02
2.517999999999988958e+01,2.039442215253857853e+02
2.519999999999988916e+01,2.043560926370386142e+02
2.521999999999988873e+01,2.047692572189616840e+02
2.523999999999988830e+01,2.051837207943816566e+02
2.525999999999988788e+01,2.055994889163651749e+02
2.527999999999988745e+01,2.060165671680144328e+02
2.529999999999988702e+01,2.064349611626631997e+02
2.531999999999988660e+01,2.068546765440754314e+02
2.533999999999988617e+01,2.072757189866443639e+02
2.535999999999988574e+01,2.076980941955941944e+02
2.537999999999988532e+01,2.081218079071821876e+02
2.539999999999988489e+01,2.085468658889035680e+02
2.541999999999988447e+01,2.089732739396968100e+02
2.543999999999988404e+01,2.094010378901512865e+02
2.545999999999988361e+01,2.098301636027163113e+02
2.547999999999988319e+01,2.102606569719118284e+02
2.549999999999988276e+01,2.106925239245406942e+02
2.551999999999988233e+01,2.111257704199024658e+02
2.553999999999988191e+01,2.115604024500090077e+02
2.555999999999988148e+01,2.119964260398020883e+02
2.557999999999988106e+01,2.124338472473720287e+02
2.559999999999988063e+01,2.128726721641784820e+02
2.561999999999988020e+01,2.133129069152728050e+02
2.563999999999987978e+01,2.137545576595223338e+02
2.565999999999987935e+01,2.141976305898361943e+02
2.567999999999987892e+01,2.146421319333929603e+02
2.569999999999987850e+01,2.150880679518701584e+02
2.571999999999987807e+01,2.155354449416754790e+02
2.573999999999987764e+01,2.159842692341799193e+02
2.575999999999987722e+01,2.164345471959526606e+02
2.577999999999987679e+01,2.168862852289979628e+02
2.579999999999987637e+01,2.173394897709935947e+02
2.581999999999987594e+01,2.177941672955315369e+02
2.583999999999987551e+01,2.182503243123603625e+02
2.585999999999987509e+01,2.187079673676295499e+02
2.587999999999987466e+01,2.191671030441358710e+02
2.589999999999987423e+01,2.196277379615715120e+02
2.591999999999987381e+01,2.200898787767744125e+02
2.593999999999987338e+01,2.205535321839803942e+02
2.595999999999987295e+01,2.210187049150774783e+02
2.597999999999987253e+01,2.214854037398621074e+02
2.599999999999987210e+01,2.219536354662972997e+02
2.601999999999987168e+01,2.224234069407732761e+02
2.603999999999987125e+01,2.228947250483696791e+02
2.605999999999987082e+01,2.233675967131202071e+02
2.607999999999987040e+01,2.238420288982793522e+02
2.609999999999986997e+01,2.243180286065912696e+02
2.611999999999986954e+01,2.247956028805605513e+02
2.613999999999986912e+01,2.252747588027254722e+02
